iter	Passed	Remaining
1395	27952	2082
1396	27970	2062
1397	27990	2042
1398	28010	2022
1399	28030	2002
1400	28050	1982
1401	28072	1962
1402	28093	1942
1403	28113	1922
1404	28133	1902
1405	28151	1882
1406	28170	1861
1407	28185	1841
1408	28204	1821
1409	28226	1801
1410	28245	1781
1411	28264	1761
1412	28282	1741
1413	28297	1721
1414	28315	1700
1415	28333	1680
1416	28348	1660
1417	28366	1640
1418	28385	1620
1419	28402	1600
1420	28420	1580
1421	28438	1559
1422	28458	1539
1423	28476	1519
1424	28495	1499
1425	28512	1479
1426	28531	1459
1427	28549	1439
1428	28566	1419
1429	28586	1399
1430	28607	1379
1431	28629	1359
1432	28649	1339
1433	28673	1319
1434	28693	1299
1435	28714	1279
1436	28733	1259
1437	28753	1239
1438	28772	1219
1439	28795	1199
1440	28813	1179
1441	28833	1159
1442	28851	1139
1443	28870	1119
1444	28892	1099
1445	28910	1079
1446	28929	1059
1447	28947	1039
1448	28967	1019
1449	28984	999
1450	29002	979
1451	29020	959
1452	29038	939
1453	29054	919
1454	29071	899
1455	29090	879
1456	29109	859
1457	29126	839
1458	29143	818
1459	29161	798
1460	29179	778
1461	29196	758
1462	29213	738
1463	29231	718
1464	29250	698
1465	29268	678
1466	29287	658
1467	29306	638
1468	29324	618
1469	29343	598
1470	29360	578
1471	29378	558
1472	29395	538
1473	29412	518
1474	29431	498
1475	29448	478
1476	29468	458
1477	29487	438
1478	29506	418
1479	29523	398
1480	29541	378
1481	29560	359
1482	29577	339
1483	29594	319
1484	29614	299
1485	29639	279
1486	29676	259
1487	29694	239
1488	29710	219
1489	29728	199
1490	29745	179
1491	29762	159
1492	29780	139
1493	29803	119
1494	29823	99
1495	29845	79
1496	29865	59
1497	29886	39
1498	29908	19
1499	29931	0
